id_Articulo,id_Almacen,id_Entrada,id_Proveedor,id_Time,NumDeEntradas,CantidadArticulos
4117,7,248,88,20150905,0,4
3881,7,248,88,20150905,0,4
4183,7,248,88,20150905,0,4
4676,7,248,88,20150905,0,16
4383,7,250,109,20160923,1,2
4389,7,251,88,20101121,1,2
4459,7,252,88,20090718,0,2
4004,7,252,88,20090718,0,2
4024,7,252,88,20090718,0,2
4140,7,252,88,20090718,0,2
4599,7,253,92,20090814,0,48
4595,7,253,92,20090814,0,50
4660,7,253,92,20090814,0,50
4585,7,253,92,20090814,0,50
3870,7,254,88,20161118,1,1
4238,7,255,88,20140719,1,10
4241,7,255,88,20140719,1,10
4132,7,256,88,20190524,0,1
3935,7,256,88,20190524,0,2
3964,7,256,88,20190524,0,4
4506,7,256,88,20190524,0,2
4363,7,256,88,20190524,0,10
4366,7,256,88,20190524,0,10
4450,7,257,88,20100210,1,2
4438,7,257,88,20100210,1,1
4236,7,258,88,20150714,1,5
4123,7,259,88,20141203,0,1
4505,7,259,88,20141203,0,5
4511,7,259,88,20141203,0,10
4073,7,259,88,20141203,0,1
4423,7,259,88,20141203,0,1
4361,7,259,88,20141203,0,5
4373,7,259,88,20141203,0,3
4364,7,259,88,20141203,0,2
4533,7,259,88,20141203,0,10
3891,7,259,88,20141203,0,10
4384,7,259,88,20141203,0,10
4091,7,259,88,20141203,0,10
4607,7,261,109,20100228,1,20
4563,7,262,95,20100810,1,32
4529,7,263,109,20171230,1,1
3929,7,264,88,20191122,1,5
4511,7,265,88,20111120,1,5
4240,7,266,88,20180628,1,2
4411,7,267,88,20100121,0,10
4505,7,267,88,20100121,0,5
4511,7,267,88,20100121,0,5
4236,7,268,88,20090811,1,10
4310,7,269,88,20190222,0,10
4529,7,269,88,20190222,0,3
4361,7,269,88,20190222,0,10
4364,7,269,88,20190222,0,3
4074,7,269,88,20190222,0,2
4577,7,271,109,20110329,1,80
4505,7,272,88,20170426,0,2
4511,7,272,88,20170426,0,3
4516,7,272,88,20170426,0,3
3935,7,272,88,20170426,0,2
4506,7,272,88,20170426,0,2
4074,7,272,88,20170426,0,2
4553,7,273,91,20151203,0,12
4561,7,273,91,20151203,0,5
4681,7,273,91,20151203,0,5
4558,7,273,91,20151203,0,5
4569,7,273,91,20151203,0,5
4576,7,273,91,20151203,0,15
4182,7,274,88,20110602,1,2
4236,7,275,88,20161202,1,10
4511,7,276,88,20180602,1,10
4258,7,276,88,20180602,1,1
4237,7,277,88,20090804,1,6
4511,7,278,88,20180707,0,5
4361,7,278,88,20180707,0,10
4648,7,278,88,20180707,0,4
4654,7,278,88,20180707,0,4
4194,7,279,88,20150302,1,5
3929,8,280,88,20100523,1,150
3929,7,281,109,20170518,1,10
4182,7,282,88,20100828,1,2
4511,7,283,88,20120520,1,10
